hold_days,exit_price,exit_reason,pnl_pct,max_profit,max_drawdown,stock_code,signal_date,signal_type,entry_price,wave_gain,consolidation_drawdown,industry,sector_momentum,sector_strong,market_regime,index_code,_hold_bin
3,100.23,trailing_stop,0.05560821484992102,0.14786729857819897,0.0015797788309635753,sh.600118,2025-12-31,anomaly_no_decline,94.95,0.1895943202677599,0.08068074377560663,银行/金融,0.0007623308611444349,False,bull,sh.000300,1-3天
8,106.83,trailing_stop,0.07420814479638005,0.2847662141779788,-0.025741578682755176,sh.600118,2026-01-05,anomaly_no_decline,99.45,0.1895943202677599,0.08068074377560663,银行/金融,0.0007623308611444349,False,bull,sh.000300,6-10天
7,106.83,trailing_stop,-0.0016820857863751688,0.19400056069526203,-0.08933744509858893,sh.600118,2026-01-06,anomaly_no_decline,107.01,0.1895943202677599,0.08068074377560663,银行/金融,0.0007623308611444349,False,bull,sh.000300,6-10天
4,106.83,trailing_stop,0.007355021216407366,0.2048090523338048,-0.009995285242810016,sh.600118,2026-01-09,anomaly_no_decline,106.05,0.1895943202677599,0.08068074377560663,银行/金融,0.0007623308611444349,False,bull,sh.000300,4-5天
8,106.83,trailing_stop,0.07420814479638005,0.2847662141779788,-0.025741578682755176,sh.600118,2026-01-05,anomaly_no_decline,99.45,0.39991186734591233,0.03999999999999995,银行/金融,0.0007623308611444349,False,bull,sh.000300,6-10天
7,106.83,trailing_stop,-0.0016820857863751688,0.19400056069526203,-0.08933744509858893,sh.600118,2026-01-06,anomaly_no_decline,107.01,0.39991186734591233,0.03999999999999995,银行/金融,0.0007623308611444349,False,bull,sh.000300,6-10天
4,106.83,trailing_stop,0.007355021216407366,0.2048090523338048,-0.009995285242810016,sh.600118,2026-01-09,anomaly_no_decline,106.05,0.39991186734591233,0.03999999999999995,银行/金融,0.0007623308611444349,False,bull,sh.000300,4-5天
20,92.33,time_exit,-0.2085547745585462,0.0952340133721927,-0.23229898851362932,sh.600118,2026-01-12,anomaly_no_decline,116.66,0.39991186734591233,0.03999999999999995,银行/金融,0.0007623308611444349,False,bull,sh.000300,11天+
2,91.7084,stop_loss,-0.02799788023317432,0.03868574456809757,-0.029676735559088473,sh.600118,2026-02-03,bullish_engulfing,94.35,0.2233882948749386,0.12550228950565373,银行/金融,0.0007623308611444349,False,bear,sh.000300,1-3天
1,91.7084,stop_loss,-0.059401025641025666,0.0,-0.06102564102564106,sh.600118,2026-02-04,anomaly_no_decline,97.5,0.2233882948749386,0.12550228950565373,银行/金融,0.0007623308611444349,False,bear,sh.000300,1-3天
17,4.752999999999999,stop_loss,-0.1557726465364122,0.0799289520426288,-0.1634103019538188,sh.600121,2025-10-27,anomaly_no_decline,5.63,0.26297113171069686,0.11496350364963517,银行/金融,0.0007623308611444349,False,bull,sh.000300,11天+
